#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	Protein binding	31	2939	0.5	0.65	5.47e-08	7227.FBpp0075701,7227.FBpp0075958,7227.FBpp0077453,7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082248,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0083153,7227.FBpp0084273,7227.FBpp0086694,7227.FBpp0110266,7227.FBpp0112160,7227.FBpp0112376,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0293630,7227.FBpp0297683,7227.FBpp0300852,7227.FBpp0301153,7227.FBpp0301282,7227.FBpp0303187,7227.FBpp0305095,7227.FBpp0306651,7227.FBpp0307166,7227.FBpp0310402,7227.FBpp0311981	Gcn5,Sod1,dpp,Rab5,Cdk1,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Ace,Akt1,Mekk1,Dl,Lgr3,Hsc70-5,Hsf,Ire1,upd3,Pvr,bsk,Rbfox1,Dscam1,scrib,Cdc42,Hsp23,Tl,Hsp83,Stat92E,Drp1,scw,MtnB
GO:0005488	Binding	42	6522	0.29	0.43	2.82e-07	7227.FBpp0074825,7227.FBpp0075701,7227.FBpp0075958,7227.FBpp0077453,7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0080710,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082248,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0083114,7227.FBpp0083153,7227.FBpp0083292,7227.FBpp0084273,7227.FBpp0084820,7227.FBpp0086694,7227.FBpp0110266,7227.FBpp0112160,7227.FBpp0112234,7227.FBpp0112376,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0293630,7227.FBpp0297683,7227.FBpp0300409,7227.FBpp0300852,7227.FBpp0301153,7227.FBpp0301282,7227.FBpp0303187,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0306651,7227.FBpp0306744,7227.FBpp0307166,7227.FBpp0308571,7227.FBpp0310402,7227.FBpp0311603,7227.FBpp0311981	Cat,Gcn5,Sod1,dpp,Rab5,Cdk1,Ddc,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Ace,Akt1,Mekk1,Xrp1,Dl,MtnC,Lgr3,dmrt99B,Hsc70-5,Hsf,Ire1,MTF-1,upd3,Pvr,bsk,Rbfox1,Dscam1,MtnD,scrib,Cdc42,Hsp23,Tl,Mps1,Hsp83,Stat92E,MtnA,Drp1,Sod3,scw,Sod2,MtnB
GO:0044183	Protein folding chaperone	7	56	1.58	1.81	1.02e-06	7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0086694,7227.FBpp0301282,7227.FBpp0305095	Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Hsc70-5,Hsp23,Hsp83
GO:0140662	ATP-dependent protein folding chaperone	6	28	1.81	1.95	1.02e-06	7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0086694,7227.FBpp0305095	Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Hsc70-5,Hsp83
GO:0043167	Ion binding	29	3170	0.44	0.54	3.35e-06	7227.FBpp0074825,7227.FBpp0075958,7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0080710,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082248,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0083153,7227.FBpp0083292,7227.FBpp0084820,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0112234,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0300409,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0306744,7227.FBpp0307166,7227.FBpp0308571,7227.FBpp0311603,7227.FBpp0311981	Cat,Sod1,Rab5,Cdk1,Ddc,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Ace,Akt1,Mekk1,Dl,MtnC,dmrt99B,Hsc70-5,Ire1,MTF-1,Pvr,bsk,MtnD,Cdc42,Mps1,Hsp83,MtnA,Drp1,Sod3,Sod2,MtnB
GO:0097367	Carbohydrate derivative binding	18	1216	0.65	0.73	9.20e-06	7227.FBpp0077453,7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0083153,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	dpp,Rab5,Cdk1,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Dl,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
GO:0043168	Anion binding	18	1247	0.64	0.71	1.18e-05	7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0080710,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082248,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	Rab5,Cdk1,Ddc,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Ace,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
GO:0035639	Purine ribonucleoside triphosphate binding	16	1007	0.68	0.74	2.19e-05	7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	Rab5,Cdk1,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
GO:0032555	Purine ribonucleotide binding	16	1017	0.68	0.73	2.25e-05	7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	Rab5,Cdk1,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
GO:0031072	Heat shock protein binding	5	37	1.61	1.38	4.98e-05	7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0086694	Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Hsc70-5
GO:1901363	Heterocyclic compound binding	17	1281	0.6	0.64	6.29e-05	7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0080710,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	Rab5,Cdk1,Ddc,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
