centrality_rank,STRING_name,degree,strength,betweenness_weighted_LCC,clustering_coefficient,in_largest_connected_component
1,Hsf,14,8.71,0.06825396825396825,0.38461538461538464,True
2,Hsc70-5,13,7.665,0.05238095238095238,0.3717948717948718,True
3,Hsp83,12,9.504999999999999,0.1619047619047619,0.4090909090909091,True
4,Akt1,12,8.366999999999999,0.2,0.2727272727272727,True
5,Sod2,11,7.744,0.1984126984126984,0.43636363636363634,True
6,Sod1,10,6.197,0.07301587301587302,0.4,True
7,Hsp23,9,6.482,0.0,0.5833333333333334,True
8,Stat92E,9,6.194,0.05714285714285714,0.3333333333333333,True
9,Debcl,9,5.529,0.1253968253968254,0.3055555555555556,True
10,bsk,8,5.659,0.16825396825396827,0.39285714285714285,True
11,dpp,6,4.068,0.05555555555555555,0.4666666666666667,True
12,Sod3,6,3.848,0.24603174603174602,0.6,True
13,Cdc42,6,3.622,0.06984126984126984,0.13333333333333333,True
14,Cdk1,6,3.2319999999999998,0.05555555555555555,0.13333333333333333,True
15,MtnA,5,3.878,0.20793650793650795,0.3,True
16,Hsp70Ab,5,3.798,0.0,1.0,True
17,Hsp70Bb,5,3.782,0.0,1.0,True
18,scrib,5,3.718,0.01904761904761905,0.3,True
19,Pvr,5,3.385,0.009523809523809525,0.6,True
20,upd3,5,3.2039999999999997,0.0,0.8,True
21,Hsc70-2,5,2.779,0.0,0.9,True
22,MTF-1,4,3.3569999999999998,0.0,0.5,True
23,Hsp70Bc,4,2.511,0.0,1.0,True
24,Cat,4,2.489,0.0,1.0,True
25,Hsp70Bbb,4,2.439,0.0,1.0,True
26,Gcn5,4,2.191,0.0031746031746031746,0.3333333333333333,True
27,Ace,4,2.186,0.0,1.0,True
28,Rab5,3,1.9649999999999999,0.0031746031746031746,0.3333333333333333,True
29,Tl,3,1.952,0.0,0.6666666666666666,True
30,Drp1,3,1.877,0.0015873015873015873,0.3333333333333333,True
31,MtnB,2,1.7930000000000001,0.0,1.0,True
32,MtnD,2,1.713,0.0,1.0,True
33,MtnC,2,1.657,0.0,1.0,True
34,Ire1,2,0.885,0.0,1.0,True
35,scw,1,0.988,0.0,0.0,True
36,Mps1,1,0.701,0.0,0.0,True
37,Mekk1,1,0.526,0.0,0.0,True
38,Ddc,0,0.0,,0.0,False
39,Dl,0,0.0,,0.0,False
40,dmrt99B,0,0.0,,0.0,False
41,Dscam1,0,0.0,,0.0,False
42,Irk1,0,0.0,,0.0,False
43,Lgr3,0,0.0,,0.0,False
44,Rbfox1,0,0.0,,0.0,False
45,TrpA1,0,0.0,,0.0,False
46,Xrp1,0,0.0,,0.0,False
