"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ATP-dependent protein folding chaperone","GO:0140662","true","1.046733864441795e-12","11.980163725099166","32","48","9","11914","FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:MF","protein folding chaperone","GO:0044183","false","7.29100971928438e-11","10.13721232282778","49","48","9","11914","FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:MF","heat shock protein binding","GO:0031072","true","7.005086428988277e-8","7.154586502005455","41","48","7","11914","FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279"
"GO:MF","carbohydrate derivative binding","GO:0097367","true","6.134082821546911e-7","6.212250364529278","1216","48","21","11914","FBGN0010379,FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","false","0.0000011475849102481956","5.940215170986363","1005","48","19","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","purine ribonucleotide binding","GO:0032555","false","0.0000013532085313820986","5.868635272840539","1015","48","19","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","ribonucleotide binding","GO:0032553","false","0.000001645032677196284","5.7838254707321965","1027","48","19","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","purine nucleotide binding","GO:0017076","false","0.000003000674257849725","5.522781147426442","1065","48","19","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","ion binding","GO:0043167","false","0.000007047559289343174","5.151961261830781","3104","48","31","11914","FBGN0010379,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0000463,FBGN0039683,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0014010,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:MF","heterocyclic compound binding","GO:1901363","false","0.000008860433618532365","5.052545023764444","1271","48","20","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","anion binding","GO:0043168","false","0.000008860433618532365","5.052545023764444","1271","48","20","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","protein binding","GO:0005515","false","0.000013272666240324754","4.877041826408461","3828","48","34","11914","FBGN0010379,FBGN0000490,FBGN0005590,FBGN0004106,FBGN0010341,FBGN0029131,FBGN0000463,FBGN0039683,FBGN0026479,FBGN0033159,FBGN0020388,FBGN0001217,FBGN0001220,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0002869,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0003462,FBGN0016917,FBGN0262473,FBGN0035934"
"GO:MF","small molecule binding","GO:0036094","false","0.000015858055146667082","4.7997500762152825","3205","48","31","11914","FBGN0010379,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0000463,FBGN0039683,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0014010,FBGN0003462,FBGN0010213,FBGN0033631"
