#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ace	Sod1	7227.FBpp0082248	7227.FBpp0075958	0	0	0	0	0.062	0	0	0.422	0.434
Ace	Debcl	7227.FBpp0082248	7227.FBpp0085443	0	0	0	0	0	0	0	0.461	0.461
Ace	Akt1	7227.FBpp0082248	7227.FBpp0082682	0	0	0	0	0.042	0	0	0.496	0.496
Ace	Sod2	7227.FBpp0082248	7227.FBpp0311603	0	0	0	0	0	0	0	0.795	0.795
Akt1	Gcn5	7227.FBpp0082682	7227.FBpp0075701	0	0	0	0	0	0.147	0	0.536	0.587
Akt1	Sod1	7227.FBpp0082682	7227.FBpp0075958	0	0	0	0	0	0.047	0	0.602	0.604
Akt1	Rab5	7227.FBpp0082682	7227.FBpp0077473	0	0	0	0	0.252	0	0	0.612	0.697
Akt1	Stat92E	7227.FBpp0082682	7227.FBpp0306651	0	0	0	0	0.171	0.049	0	0.400	0.485
Akt1	Hsf	7227.FBpp0082682	7227.FBpp0110266	0	0	0	0	0.052	0.122	0	0.476	0.525
Akt1	Hsp23	7227.FBpp0082682	7227.FBpp0301282	0	0	0	0	0	0.677	0	0.106	0.698
Akt1	Sod2	7227.FBpp0082682	7227.FBpp0311603	0	0	0	0	0	0	0	0.724	0.724
Akt1	Cdc42	7227.FBpp0082682	7227.FBpp0301153	0	0	0	0	0.099	0.122	0	0.747	0.782
Akt1	Tl	7227.FBpp0082682	7227.FBpp0303187	0	0	0	0	0.080	0.855	0	0.088	0.867
Akt1	Debcl	7227.FBpp0082682	7227.FBpp0085443	0	0	0	0	0	0.122	0	0.919	0.925
Akt1	Hsp83	7227.FBpp0082682	7227.FBpp0305095	0	0	0	0	0.095	0.806	0.800	0.446	0.977
Cat	Hsf	7227.FBpp0074825	7227.FBpp0110266	0	0	0	0	0	0	0	0.465	0.465
Cat	Sod3	7227.FBpp0074825	7227.FBpp0308571	0.111	0	0	0	0.165	0.155	0	0.322	0.517
Cat	Sod1	7227.FBpp0074825	7227.FBpp0075958	0.111	0	0	0	0.230	0.155	0	0.550	0.704
Cat	Sod2	7227.FBpp0074825	7227.FBpp0311603	0.116	0	0	0	0.195	0.262	0	0.670	0.803
Cdc42	Cdk1	7227.FBpp0301153	7227.FBpp0079641	0	0	0	0	0.070	0.054	0	0.483	0.505
Cdc42	Mekk1	7227.FBpp0301153	7227.FBpp0083099	0	0	0	0	0	0.185	0	0.443	0.526
Cdc42	Debcl	7227.FBpp0301153	7227.FBpp0085443	0	0	0	0	0	0	0	0.480	0.480
Cdc42	Pvr	7227.FBpp0301153	7227.FBpp0291358	0	0	0	0	0.062	0.339	0	0.381	0.582
Cdc42	scrib	7227.FBpp0301153	7227.FBpp0300852	0	0	0	0	0.042	0.045	0.400	0.595	0.747
Cdk1	Gcn5	7227.FBpp0079641	7227.FBpp0075701	0	0	0	0	0	0.146	0	0.338	0.410
Cdk1	Drp1	7227.FBpp0079641	7227.FBpp0307166	0	0	0	0	0	0.127	0	0.349	0.407
Cdk1	Hsp83	7227.FBpp0079641	7227.FBpp0305095	0	0	0	0	0	0.437	0	0.281	0.577
Cdk1	Debcl	7227.FBpp0079641	7227.FBpp0085443	0	0	0	0	0	0.122	0	0.599	0.632
Cdk1	Mps1	7227.FBpp0079641	7227.FBpp0303766	0	0	0.187	0.640	0.398	0.314	0	0.215	0.701
Debcl	Sod1	7227.FBpp0085443	7227.FBpp0075958	0	0	0	0	0	0.059	0	0.671	0.677
Debcl	Sod2	7227.FBpp0085443	7227.FBpp0311603	0	0	0	0	0.049	0	0	0.416	0.420
Debcl	Ire1	7227.FBpp0085443	7227.FBpp0112160	0	0	0	0	0.042	0.062	0	0.468	0.480
Debcl	Stat92E	7227.FBpp0085443	7227.FBpp0306651	0	0	0	0	0	0.110	0	0.462	0.500
Debcl	Drp1	7227.FBpp0085443	7227.FBpp0307166	0	0	0	0	0.103	0.576	0.800	0.468	0.954
