"Input Order","Search Term","Input GeneID","FlyBaseID","Input Gene Symbol","Output Species","Output GeneID","Human Species Gene ID","Output Gene Symbol","Ensembl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","590","983","BCHE","ENSG00000114200","11","10.8","high","Yes","Yes","Compara, Domainoid, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (BCHE)    DRscDB Data: (BCHE)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","43","108","ACHE","ENSG00000087085","9","8.77","moderate","No","Yes","Domainoid, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (ACHE)    DRscDB Data: (ACHE)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","57555","14290","NLGN2","ENSG00000169992","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (NLGN2)    DRscDB Data: (NLGN2)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","1066","1863","CES1","ENSG00000198848","3","2.9","low","No","No","OrthoFinder, SonicParanoid, orthoMCL","","Add","G2F details (CES1)    DRscDB Data: (CES1)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","22871","14291","NLGN1","ENSG00000169760","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (NLGN1)    DRscDB Data: (NLGN1)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","23491","1865","CES3","ENSG00000172828","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (CES3)    DRscDB Data: (CES3)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","57502","14287","NLGN4X","ENSG00000146938","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (NLGN4X)    DRscDB Data: (NLGN4X)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","22829","15529","NLGN4Y","ENSG00000165246","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (NLGN4Y)    DRscDB Data: (NLGN4Y)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","8824","1864","CES2","ENSG00000172831","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (CES2)    DRscDB Data: (CES2)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","221223","26459","CES5A","ENSG00000159398","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (CES5A)    DRscDB Data: (CES5A)                             Human Protein Atlas  (HPA)"
