#node	identifier	category	term ID	term description
Ace	7227.FBpp0082248	GO Process	GO:0007154	Cell communication
Ace	7227.FBpp0082248	GO Process	GO:0007267	Cell-cell signaling
Ace	7227.FBpp0082248	GO Process	GO:0007268	Chemical synaptic transmission
Ace	7227.FBpp0082248	GO Process	GO:0007271	Synaptic transmission, cholinergic
Ace	7227.FBpp0082248	GO Process	GO:0008152	Metabolic process
Ace	7227.FBpp0082248	GO Process	GO:0008291	Acetylcholine metabolic process
Ace	7227.FBpp0082248	GO Process	GO:0009056	Catabolic process
Ace	7227.FBpp0082248	GO Process	GO:0009308	Amine metabolic process
Ace	7227.FBpp0082248	GO Process	GO:0009310	Amine catabolic process
Ace	7227.FBpp0082248	GO Process	GO:0009987	Cellular process
Ace	7227.FBpp0082248	GO Process	GO:0023052	Signaling
Ace	7227.FBpp0082248	GO Process	GO:0042402	Biogenic amine catabolic process
Ace	7227.FBpp0082248	GO Process	GO:0050789	Regulation of biological process
Ace	7227.FBpp0082248	GO Process	GO:0065007	Biological regulation
Ace	7227.FBpp0082248	GO Process	GO:0098916	Anterograde trans-synaptic signaling
Ace	7227.FBpp0082248	GO Process	GO:0099536	Synaptic signaling
Ace	7227.FBpp0082248	GO Process	GO:0099537	Trans-synaptic signaling
Ace	7227.FBpp0082248	GO Process	GO:1900619	Acetate ester metabolic process
Ace	7227.FBpp0082248	GO Function	GO:0003824	Catalytic activity
Ace	7227.FBpp0082248	GO Function	GO:0003990	Acetylcholinesterase activity
Ace	7227.FBpp0082248	GO Function	GO:0004104	Cholinesterase activity
Ace	7227.FBpp0082248	GO Function	GO:0005488	Binding
Ace	7227.FBpp0082248	GO Function	GO:0005515	Protein binding
Ace	7227.FBpp0082248	GO Function	GO:0008233	Peptidase activity
Ace	7227.FBpp0082248	GO Function	GO:0016787	Hydrolase activity
Ace	7227.FBpp0082248	GO Function	GO:0016788	Hydrolase activity, acting on ester bonds
Ace	7227.FBpp0082248	GO Function	GO:0017171	Serine hydrolase activity
Ace	7227.FBpp0082248	GO Function	GO:0036094	Small molecule binding
Ace	7227.FBpp0082248	GO Function	GO:0042802	Identical protein binding
Ace	7227.FBpp0082248	GO Function	GO:0042803	Protein homodimerization activity
Ace	7227.FBpp0082248	GO Function	GO:0043167	Ion binding
Ace	7227.FBpp0082248	GO Function	GO:0043168	Anion binding
Ace	7227.FBpp0082248	GO Function	GO:0046983	Protein dimerization activity
Ace	7227.FBpp0082248	GO Function	GO:0052689	Carboxylic ester hydrolase activity
Ace	7227.FBpp0082248	GO Function	GO:0140096	Catalytic activity, acting on a protein
Ace	7227.FBpp0082248	GO Function	GO:1901681	Sulfur compound binding
Ace	7227.FBpp0082248	GO Component	GO:0005576	Extracellular region
Ace	7227.FBpp0082248	GO Component	GO:0005615	Extracellular space
Ace	7227.FBpp0082248	GO Component	GO:0005622	Intracellular anatomical structure
Ace	7227.FBpp0082248	GO Component	GO:0005737	Cytoplasm
Ace	7227.FBpp0082248	GO Component	GO:0005886	Plasma membrane
Ace	7227.FBpp0082248	GO Component	GO:0016020	Membrane
Ace	7227.FBpp0082248	GO Component	GO:0030054	Cell junction
Ace	7227.FBpp0082248	GO Component	GO:0043083	Synaptic cleft
